Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-02-01,202,0,"230.783,00",129,73,202,0,"157.858,00","72.925,00","230.783,00","0,00"
2022-02-02,141,0,"179.904,00",93,48,141,0,"120.796,00","59.108,00","179.904,00","0,00"
2022-02-03,135,0,"164.459,00",100,35,135,0,"120.905,00","43.554,00","164.459,00","0,00"
2022-02-04,163,1,"213.976,00",99,64,163,0,"140.114,00","73.862,00","213.976,00","0,00"
2022-02-05,152,0,"208.038,50",95,57,152,0,"140.828,50","67.210,00","208.038,50","0,00"
2022-02-06,131,0,"171.083,00",69,62,131,0,"88.336,00","82.747,00","171.083,00","0,00"
2022-02-07,135,0,"165.029,00",77,58,135,0,"103.165,00","61.864,00","165.029,00","0,00"
2022-02-08,219,0,"234.840,00",139,80,219,0,"149.140,00","85.700,00","234.840,00","0,00"
2022-02-09,113,0,"148.073,00",66,47,113,0,"91.507,00","56.566,00","148.073,00","0,00"
2022-02-10,128,0,"164.994,00",89,39,128,0,"122.124,00","42.870,00","164.994,00","0,00"
2022-02-11,137,1,"190.521,00",94,43,137,0,"130.645,00","59.876,00","190.521,00","0,00"
2022-02-12,152,0,"199.579,00",91,61,152,0,"128.130,00","71.449,00","199.579,00","0,00"
2022-02-13,129,0,"173.930,00",75,54,129,0,"93.769,00","80.161,00","173.930,00","0,00"
2022-02-14,63,1,"66.559,50",41,22,63,0,"44.209,00","22.350,50","66.559,50","0,00"
2022-02-15,180,0,"187.935,00",101,79,180,0,"111.704,00","76.231,00","187.935,00","0,00"
2022-02-16,114,0,"142.602,00",71,43,114,0,"91.260,00","51.342,00","142.602,00","0,00"
2022-02-17,117,0,"154.991,00",76,41,117,0,"106.268,00","48.723,00","154.991,00","0,00"
2022-02-18,140,2,"175.357,00",82,58,140,0,"103.844,00","71.513,00","175.357,00","0,00"
2022-02-19,144,0,"198.228,00",86,58,144,0,"117.437,00","80.791,00","198.228,00","0,00"
2022-02-20,74,0,"89.805,50",40,34,74,0,"51.427,00","38.378,50","89.805,50","0,00"
2022-02-21,119,0,"133.952,00",61,58,119,0,"72.471,00","61.481,00","133.952,00","0,00"
2022-02-22,189,1,"185.270,00",111,78,189,0,"107.055,00","78.215,00","185.270,00","0,00"
2022-02-23,121,0,"150.673,00",78,43,121,0,"94.431,00","56.242,00","150.673,00","0,00"
2022-02-24,130,0,"157.235,00",81,49,130,0,"98.686,00","58.549,00","157.235,00","0,00"
2022-02-25,183,0,"220.884,50",113,70,183,0,"136.465,00","84.419,50","220.884,50","0,00"
2022-02-26,97,0,"120.423,00",73,24,97,0,"92.169,00","28.254,00","120.423,00","0,00"
2022-02-27,69,0,"96.327,00",48,21,69,0,"65.073,00","31.254,00","96.327,00","0,00"
2022-02-28,104,0,"121.765,50",65,39,104,0,"79.636,00","42.129,50","121.765,50","0,00"
