Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-07-01,93,0,"141.643,00",64,29,93,0,"97.042,00","44.601,00","141.643,00","0,00"
2022-07-02,152,0,"288.503,00",94,58,152,0,"194.971,00","93.532,00","288.503,00","0,00"
2022-07-03,139,0,"259.953,00",84,55,139,0,"158.897,00","101.056,00","259.953,00","0,00"
2022-07-04,106,0,"165.142,00",65,41,106,0,"109.478,00","55.664,00","165.142,00","0,00"
2022-07-05,254,0,"353.519,00",173,81,254,0,"249.250,00","104.269,00","353.519,00","0,00"
2022-07-06,106,0,"156.345,00",74,32,106,0,"118.687,00","37.658,00","156.345,00","0,00"
2022-07-07,190,0,"328.080,00",120,70,190,0,"198.683,00","129.397,00","328.080,00","0,00"
2022-07-08,173,1,"302.612,00",120,53,173,0,"209.373,00","93.239,00","302.612,00","0,00"
2022-07-09,133,0,"255.613,00",77,56,133,0,"144.528,00","111.085,00","255.613,00","0,00"
2022-07-10,128,0,"255.265,00",72,56,128,0,"138.567,00","116.698,00","255.265,00","0,00"
2022-07-11,128,1,"223.919,00",87,41,128,0,"149.461,00","74.458,00","223.919,00","0,00"
2022-07-12,291,0,"373.872,00",193,98,291,0,"254.591,00","119.281,00","373.872,00","0,00"
2022-07-13,223,0,"341.035,00",142,81,223,0,"235.618,00","105.417,00","341.035,00","0,00"
2022-07-14,180,0,"298.220,00",122,58,180,0,"200.008,00","98.212,00","298.220,00","0,00"
2022-07-15,221,0,"389.998,00",140,81,221,0,"248.723,00","141.275,00","389.998,00","0,00"
2022-07-16,185,0,"367.856,00",105,80,185,0,"207.841,00","160.015,00","367.856,00","0,00"
2022-07-17,173,0,"330.847,00",95,78,173,0,"178.591,00","152.256,00","330.847,00","0,00"
2022-07-18,135,0,"214.837,00",88,47,135,0,"148.382,00","66.455,00","214.837,00","0,00"
2022-07-19,282,0,"396.008,00",194,88,282,0,"272.015,00","123.993,00","396.008,00","0,00"
2022-07-20,134,0,"237.283,00",111,23,134,0,"206.475,00","30.808,00","237.283,00","0,00"
2022-07-21,159,0,"283.676,00",105,54,159,0,"195.069,00","88.607,00","283.676,00","0,00"
2022-07-22,226,0,"368.775,00",145,81,226,0,"235.255,00","133.520,00","368.775,00","0,00"
2022-07-23,163,0,"292.012,00",107,56,163,0,"195.868,00","96.144,00","292.012,00","0,00"
2022-07-24,96,0,"180.471,00",59,37,96,0,"113.406,00","67.065,00","180.471,00","0,00"
2022-07-25,92,0,"157.804,00",60,32,92,0,"101.039,00","56.765,00","157.804,00","0,00"
2022-07-26,221,0,"334.078,00",133,88,221,0,"204.559,00","129.519,00","334.078,00","0,00"
2022-07-27,78,0,"101.546,00",61,17,78,0,"83.110,00","18.436,00","101.546,00","0,00"
2022-07-28,215,0,"349.703,00",144,71,215,0,"239.523,00","110.180,00","349.703,00","0,00"
2022-07-29,199,0,"343.937,00",124,75,199,0,"224.521,00","119.416,00","343.937,00","0,00"
2022-07-30,201,0,"399.334,00",121,80,201,0,"237.401,00","161.933,00","399.334,00","0,00"
2022-07-31,173,1,"331.191,00",104,69,173,0,"203.094,00","128.097,00","331.191,00","0,00"
