Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-03-01,92,0,"111.192,50",52,40,92,0,"68.295,50","42.897,00","111.192,50","0,00"
2022-03-02,90,0,"107.207,50",59,31,90,0,"69.182,50","38.025,00","107.207,50","0,00"
2022-03-03,101,0,"114.830,00",62,39,101,0,"77.949,00","36.881,00","114.830,00","0,00"
2022-03-04,147,0,"167.277,00",94,53,147,0,"107.935,00","59.342,00","167.277,00","0,00"
2022-03-05,104,0,"131.626,00",63,41,104,0,"83.008,00","48.618,00","131.626,00","0,00"
2022-03-06,101,0,"139.003,00",60,41,101,0,"85.123,00","53.880,00","139.003,00","0,00"
2022-03-07,84,4,"94.816,00",48,36,84,0,"56.409,00","38.407,00","94.816,00","0,00"
2022-03-08,187,0,"191.169,00",117,70,187,0,"124.372,00","66.797,00","191.169,00","0,00"
2022-03-09,146,0,"148.028,00",91,55,146,0,"101.388,00","46.640,00","148.028,00","0,00"
2022-03-10,135,1,"150.310,00",92,43,135,0,"102.667,00","47.643,00","150.310,00","0,00"
2022-03-11,168,0,"193.125,00",99,69,168,0,"115.131,00","77.994,00","193.125,00","0,00"
2022-03-12,141,3,"181.360,00",83,58,141,0,"109.866,00","71.494,00","181.360,00","0,00"
2022-03-13,107,0,"142.158,00",58,49,107,0,"79.951,00","62.207,00","142.158,00","0,00"
2022-03-14,85,2,"91.548,00",51,34,85,0,"53.290,00","38.258,00","91.548,00","0,00"
2022-03-15,209,0,"190.901,00",130,79,209,0,"116.647,00","74.254,00","190.901,00","0,00"
2022-03-16,138,0,"169.331,00",87,51,138,0,"107.285,00","62.046,00","169.331,00","0,00"
2022-03-17,109,0,"155.010,50",72,37,109,0,"103.316,50","51.694,00","155.010,50","0,00"
2022-03-18,139,1,"206.191,00",128,11,139,0,"193.064,00","13.127,00","206.191,00","0,00"
2022-03-19,115,0,"180.744,00",113,2,115,0,"179.844,00","900,00","180.744,00","0,00"
2022-03-20,122,0,"174.131,50",73,49,122,0,"108.144,50","65.987,00","174.131,50","0,00"
2022-03-21,116,0,"156.026,50",77,39,116,0,"104.446,50","51.580,00","156.026,50","0,00"
2022-03-22,175,1,"161.316,00",109,66,175,0,"97.594,00","63.722,00","161.316,00","0,00"
2022-03-23,113,0,"141.494,50",68,45,113,0,"88.257,50","53.237,00","141.494,50","0,00"
2022-03-24,70,0,"96.519,50",43,27,70,0,"61.151,50","35.368,00","96.519,50","0,00"
2022-03-25,131,0,"161.369,00",98,33,131,0,"117.038,00","44.331,00","161.369,00","0,00"
2022-03-26,155,1,"234.632,00",93,62,155,0,"150.723,00","83.909,00","234.632,00","0,00"
2022-03-27,137,0,"200.571,50",70,67,137,0,"107.473,50","93.098,00","200.571,50","0,00"
2022-03-28,117,0,"146.185,00",69,48,117,0,"85.803,00","60.382,00","146.185,00","0,00"
2022-03-29,168,1,"173.452,00",102,66,168,0,"102.304,00","71.148,00","173.452,00","0,00"
2022-03-30,131,0,"182.291,00",86,45,131,0,"117.271,00","65.020,00","182.291,00","0,00"
2022-03-31,106,0,"149.386,00",70,36,106,0,"103.289,00","46.097,00","149.386,00","0,00"
