Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-05-01,165,0,"237.932,00",90,75,165,0,"129.147,00","108.785,00","237.932,00","0,00"
2022-05-02,120,0,"168.306,00",73,47,120,0,"106.781,00","61.525,00","168.306,00","0,00"
2022-05-03,224,1,"265.039,00",149,75,224,0,"180.502,00","84.537,00","265.039,00","0,00"
2022-05-04,135,1,"196.494,00",82,53,135,0,"129.746,00","66.748,00","196.494,00","0,00"
2022-05-05,145,0,"211.780,00",94,51,145,0,"145.628,00","66.152,00","211.780,00","0,00"
2022-05-06,180,0,"286.192,00",121,59,180,0,"198.527,00","87.665,00","286.192,00","0,00"
2022-05-07,145,0,"216.522,00",86,59,145,0,"134.110,00","82.412,00","216.522,00","0,00"
2022-05-08,166,0,"256.672,00",99,67,166,0,"155.821,00","100.851,00","256.672,00","0,00"
2022-05-09,133,0,"185.037,00",87,46,133,0,"120.345,00","64.692,00","185.037,00","0,00"
2022-05-10,253,0,"272.669,00",152,101,253,0,"158.870,00","113.799,00","272.669,00","0,00"
2022-05-11,140,1,"198.643,00",85,55,140,0,"120.483,00","78.160,00","198.643,00","0,00"
2022-05-12,170,0,"229.734,00",127,43,170,0,"167.252,00","62.482,00","229.734,00","0,00"
2022-05-13,199,2,"316.207,00",120,79,199,0,"202.994,00","113.213,00","316.207,00","0,00"
2022-05-14,185,0,"314.640,00",114,71,185,0,"194.734,00","119.906,00","314.640,00","0,00"
2022-05-15,159,0,"240.879,00",105,54,159,0,"160.674,00","80.205,00","240.879,00","0,00"
2022-05-16,111,0,"164.699,00",68,43,111,0,"93.897,00","70.802,00","164.699,00","0,00"
2022-05-17,173,0,"210.686,00",119,54,173,0,"142.984,00","67.702,00","210.686,00","0,00"
2022-05-18,17,0,"24.351,00",12,5,17,0,"14.403,00","9.948,00","24.351,00","0,00"
2022-05-19,172,0,"258.863,00",109,63,172,0,"181.007,00","77.856,00","258.863,00","0,00"
2022-05-20,187,1,"305.820,00",126,61,187,0,"219.175,00","86.645,00","305.820,00","0,00"
2022-05-21,179,0,"309.268,00",107,72,179,0,"187.094,00","122.174,00","309.268,00","0,00"
2022-05-22,165,1,"285.532,00",95,70,165,0,"176.058,00","109.474,00","285.532,00","0,00"
2022-05-23,123,0,"193.455,00",76,47,123,0,"119.128,00","74.327,00","193.455,00","0,00"
2022-05-24,234,1,"287.567,00",148,86,234,0,"175.067,00","112.500,00","287.567,00","0,00"
2022-05-25,100,0,"156.399,00",65,35,100,0,"105.139,00","51.260,00","156.399,00","0,00"
2022-05-26,169,0,"233.017,00",117,52,169,0,"162.714,00","70.303,00","233.017,00","0,00"
2022-05-27,250,0,"356.527,00",163,87,250,0,"233.204,00","123.323,00","356.527,00","0,00"
2022-05-28,205,1,"319.284,00",127,78,205,0,"196.830,00","122.454,00","319.284,00","0,00"
2022-05-29,170,0,"285.804,00",94,76,170,0,"175.948,00","109.856,00","285.804,00","0,00"
2022-05-30,132,0,"177.036,00",86,46,132,0,"115.660,00","61.376,00","177.036,00","0,00"
2022-05-31,205,2,"258.667,00",133,72,205,0,"166.281,00","92.386,00","258.667,00","0,00"
