Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-08-01,120,0,"202.803,00",77,43,120,0,"135.460,00","67.343,00","202.803,00","0,00"
2022-08-02,291,0,"404.627,00",202,89,291,0,"284.906,00","119.721,00","404.627,00","0,00"
2022-08-03,165,0,"306.877,00",98,67,165,0,"198.159,00","108.718,00","306.877,00","0,00"
2022-08-04,162,0,"276.930,00",121,41,162,0,"211.611,00","65.319,00","276.930,00","0,00"
2022-08-05,219,0,"421.441,00",151,68,219,0,"302.057,00","119.384,00","421.441,00","0,00"
2022-08-06,204,0,"454.415,00",124,80,204,0,"304.346,00","150.069,00","454.415,00","0,00"
2022-08-07,160,0,"355.626,00",98,62,160,0,"219.579,00","136.047,00","355.626,00","0,00"
2022-08-08,124,0,"206.547,00",83,41,124,0,"140.202,00","66.345,00","206.547,00","0,00"
2022-08-09,290,1,"395.736,00",199,91,290,0,"285.460,00","110.276,00","395.736,00","0,00"
2022-08-10,177,0,"310.460,00",121,56,177,0,"220.740,00","89.720,00","310.460,00","0,00"
2022-08-11,199,0,"357.249,00",146,53,199,0,"268.516,00","88.733,00","357.249,00","0,00"
2022-08-12,234,0,"445.776,00",147,87,234,0,"255.143,00","190.633,00","445.776,00","0,00"
2022-08-13,198,0,"381.568,00",118,80,198,0,"221.012,00","160.556,00","381.568,00","0,00"
2022-08-14,176,0,"374.665,00",112,64,176,0,"241.852,00","132.813,00","374.665,00","0,00"
2022-08-15,173,0,"341.504,00",121,52,173,0,"248.369,00","93.135,00","341.504,00","0,00"
2022-08-16,247,0,"323.389,00",161,86,247,0,"210.439,00","112.950,00","323.389,00","0,00"
2022-08-17,110,0,"213.349,00",67,43,110,0,"129.861,00","83.488,00","213.349,00","0,00"
2022-08-18,120,0,"228.628,00",73,47,120,0,"139.489,00","89.139,00","228.628,00","0,00"
2022-08-19,209,0,"381.579,00",134,75,209,0,"262.617,00","118.962,00","381.579,00","0,00"
2022-08-20,190,1,"366.420,00",105,85,190,0,"196.659,00","169.761,00","366.420,00","0,00"
2022-08-21,189,0,"406.202,00",105,84,189,0,"236.496,00","169.706,00","406.202,00","0,00"
2022-08-22,140,0,"250.870,00",81,59,140,0,"140.998,00","109.872,00","250.870,00","0,00"
2022-08-23,273,0,"363.767,00",187,86,273,0,"243.812,00","119.955,00","363.767,00","0,00"
2022-08-24,144,0,"274.359,00",103,41,144,0,"199.320,00","75.039,00","274.359,00","0,00"
2022-08-25,154,0,"279.421,00",103,51,154,0,"192.251,00","87.170,00","279.421,00","0,00"
2022-08-26,201,0,"374.696,00",141,60,201,0,"264.321,00","110.375,00","374.696,00","0,00"
2022-08-27,169,0,"328.755,00",91,78,169,0,"186.440,00","142.315,00","328.755,00","0,00"
2022-08-28,158,0,"313.697,00",88,70,158,0,"177.741,00","135.956,00","313.697,00","0,00"
2022-08-29,113,0,"182.383,00",77,36,113,0,"124.268,00","58.115,00","182.383,00","0,00"
2022-08-30,275,0,"352.866,00",164,111,275,0,"195.602,00","157.264,00","352.866,00","0,00"
2022-08-31,163,0,"268.145,00",106,57,163,0,"179.392,00","88.753,00","268.145,00","0,00"
