Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-09-01,156,0,"260.462,00",145,11,156,0,"248.008,00","12.454,00","260.462,00","0,00"
2022-09-02,253,0,"491.756,00",169,84,253,0,"334.463,00","157.293,00","491.756,00","0,00"
2022-09-03,193,0,"392.426,00",128,65,193,0,"271.903,00","120.523,00","392.426,00","0,00"
2022-09-04,180,0,"366.831,00",107,73,180,0,"225.715,00","141.116,00","366.831,00","0,00"
2022-09-05,110,1,"203.082,00",69,41,110,0,"118.471,00","84.611,00","203.082,00","0,00"
2022-09-06,279,0,"378.984,00",198,81,279,0,"262.320,00","116.664,00","378.984,00","0,00"
2022-09-07,155,0,"282.388,00",93,62,155,0,"172.733,00","109.655,00","282.388,00","0,00"
2022-09-08,82,1,"117.005,00",57,25,82,0,"87.795,00","29.210,00","117.005,00","0,00"
2022-09-09,220,0,"433.525,00",147,73,220,0,"306.740,00","126.785,00","433.525,00","0,00"
2022-09-10,214,0,"435.797,00",131,83,214,0,"274.332,00","161.465,00","435.797,00","0,00"
2022-09-11,174,1,"358.747,00",106,68,174,0,"215.490,00","143.257,00","358.747,00","0,00"
2022-09-12,137,1,"231.512,00",75,62,137,0,"124.725,00","106.787,00","231.512,00","0,00"
2022-09-13,261,0,"370.272,00",173,88,261,0,"246.272,00","124.000,00","370.272,00","0,00"
2022-09-14,146,0,"261.955,00",99,47,146,0,"189.154,00","72.801,00","261.955,00","0,00"
2022-09-15,155,0,"285.198,00",113,42,155,0,"211.663,00","73.535,00","285.198,00","0,00"
2022-09-16,218,0,"415.828,00",143,75,218,0,"265.260,00","150.568,00","415.828,00","0,00"
2022-09-17,152,0,"285.924,00",103,49,152,0,"205.163,00","80.761,00","285.924,00","0,00"
