Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-12-01,181,0,"375.420,00",136,45,181,0,"290.814,00","84.606,00","375.420,00","0,00"
2022-12-02,246,0,"520.295,50",165,81,246,0,"349.798,00","170.497,50","520.295,50","0,00"
2022-12-03,157,0,"413.499,00",106,51,157,0,"285.091,00","128.408,00","413.499,00","0,00"
2022-12-04,62,0,"156.722,00",49,13,62,0,"132.788,00","23.934,00","156.722,00","0,00"
2022-12-05,122,0,"262.446,00",85,37,122,0,"184.993,00","77.453,00","262.446,00","0,00"
2022-12-06,254,0,"423.883,00",191,63,254,0,"327.876,00","96.007,00","423.883,00","0,00"
2022-12-07,76,0,"166.346,00",60,16,76,0,"129.956,00","36.390,00","166.346,00","0,00"
2022-12-08,182,0,"431.042,00",120,62,182,0,"291.417,00","139.625,00","431.042,00","0,00"
2022-12-09,104,0,"255.220,00",78,26,104,0,"189.346,00","65.874,00","255.220,00","0,00"
2022-12-10,218,0,"530.946,00",147,71,218,0,"365.962,00","164.984,00","530.946,00","0,00"
2022-12-11,125,0,"302.028,00",84,41,125,0,"208.406,00","93.622,00","302.028,00","0,00"
2022-12-12,160,0,"286.789,00",119,41,160,0,"206.898,00","79.891,00","286.789,00","0,00"
2022-12-13,218,0,"389.712,00",171,47,218,0,"306.221,00","83.491,00","389.712,00","0,00"
2022-12-14,162,0,"334.614,00",110,52,162,0,"234.933,00","99.681,00","334.614,00","0,00"
2022-12-15,170,0,"354.143,00",113,57,170,0,"259.300,00","94.843,00","354.143,00","0,00"
2022-12-16,260,0,"580.071,00",177,83,260,0,"404.560,00","175.511,00","580.071,00","0,00"
2022-12-17,166,0,"354.104,00",108,58,166,0,"255.249,00","98.855,00","354.104,00","0,00"
2022-12-18,15,0,"29.016,00",13,2,15,0,"26.647,00","2.369,00","29.016,00","0,00"
2022-12-19,122,0,"240.547,00",82,40,122,0,"157.562,00","82.985,00","240.547,00","0,00"
2022-12-20,187,0,"370.793,00",120,67,187,0,"255.037,00","115.756,00","370.793,00","0,00"
2022-12-21,142,0,"288.025,00",106,36,142,0,"225.010,00","63.015,00","288.025,00","0,00"
2022-12-22,197,0,"432.298,00",142,55,197,0,"327.572,00","104.726,00","432.298,00","0,00"
2022-12-23,181,0,"389.783,00",130,51,181,0,"285.006,00","104.777,00","389.783,00","0,00"
2022-12-24,62,0,"132.079,00",62,0,62,0,"132.079,00","0,00","132.079,00","0,00"
2022-12-25,88,0,"244.216,00",88,0,88,0,"244.216,00","0,00","244.216,00","0,00"
2022-12-26,204,0,"446.890,00",144,60,204,0,"315.085,00","131.805,00","446.890,00","0,00"
2022-12-27,341,0,"656.056,66",221,120,341,0,"438.623,66","217.433,00","656.056,66","0,00"
2022-12-28,161,0,"319.463,00",106,55,161,0,"212.401,00","107.062,00","319.463,00","0,00"
2022-12-29,232,0,"454.222,00",163,69,232,0,"328.778,00","125.444,00","454.222,00","0,00"
2022-12-30,225,0,"511.298,00",147,78,225,0,"326.940,00","184.358,00","511.298,00","0,00"
2022-12-31,112,0,"228.220,00",69,43,112,0,"145.745,00","82.475,00","228.220,00","0,00"
