Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-01-01,73,0,"98.727,00",34,39,73,0,"46.196,00","52.531,00","98.727,00","0,00"
2022-01-02,122,0,"144.182,00",64,58,122,0,"80.472,00","63.710,00","144.182,00","0,00"
2022-01-03,88,0,"90.694,00",57,31,88,0,"58.192,00","32.502,00","90.694,00","0,00"
2022-01-04,164,0,"173.000,00",98,66,164,0,"105.615,00","67.385,00","173.000,00","0,00"
2022-01-05,110,0,"131.576,00",60,50,110,0,"76.152,00","55.424,00","131.576,00","0,00"
2022-01-06,107,0,"130.517,00",70,37,107,0,"87.472,00","43.045,00","130.517,00","0,00"
2022-01-07,154,0,"199.330,00",95,59,154,0,"127.647,00","71.683,00","199.330,00","0,00"
2022-01-08,148,1,"190.034,00",95,53,148,0,"124.527,00","65.507,00","190.034,00","0,00"
2022-01-09,129,2,"162.002,00",84,45,129,0,"102.408,00","59.594,00","162.002,00","0,00"
2022-01-10,89,1,"115.878,00",55,34,89,0,"73.234,00","42.644,00","115.878,00","0,00"
2022-01-11,110,0,"108.584,00",72,38,110,0,"68.941,00","39.643,00","108.584,00","0,00"
2022-01-12,98,1,"113.109,00",73,25,98,0,"86.715,00","26.394,00","113.109,00","0,00"
2022-01-13,90,0,"110.526,00",57,33,90,0,"75.312,00","35.214,00","110.526,00","0,00"
2022-01-14,88,1,"108.342,00",76,12,88,0,"96.106,00","12.236,00","108.342,00","0,00"
2022-01-15,58,0,"68.232,00",39,19,58,0,"48.058,00","20.174,00","68.232,00","0,00"
2022-01-16,61,0,"84.898,00",37,24,61,0,"52.101,00","32.797,00","84.898,00","0,00"
2022-01-17,53,0,"58.016,00",33,20,53,0,"38.765,00","19.251,00","58.016,00","0,00"
2022-01-18,78,0,"72.524,00",52,26,78,0,"50.558,00","21.966,00","72.524,00","0,00"
2022-01-19,124,1,"163.106,00",78,46,124,0,"94.732,00","68.374,00","163.106,00","0,00"
2022-01-20,127,0,"146.479,00",79,48,127,0,"91.669,00","54.810,00","146.479,00","0,00"
2022-01-21,117,0,"134.511,00",75,42,117,0,"88.435,00","46.076,00","134.511,00","0,00"
2022-01-22,79,1,"104.341,00",42,37,79,0,"58.622,00","45.719,00","104.341,00","0,00"
2022-01-23,95,1,"125.815,00",58,37,95,0,"86.606,00","39.209,00","125.815,00","0,00"
2022-01-24,112,1,"130.068,00",69,43,112,0,"82.750,00","47.318,00","130.068,00","0,00"
2022-01-25,197,1,"207.128,00",124,73,197,0,"132.239,00","74.889,00","207.128,00","0,00"
2022-01-26,130,2,"153.124,00",67,63,130,0,"82.540,00","70.584,00","153.124,00","0,00"
2022-01-27,142,0,"152.190,00",79,63,142,0,"89.752,00","62.438,00","152.190,00","0,00"
2022-01-28,150,0,"181.543,00",91,59,150,0,"113.910,00","67.633,00","181.543,00","0,00"
2022-01-29,143,0,"191.672,00",93,50,143,0,"128.122,00","63.550,00","191.672,00","0,00"
2022-01-30,118,2,"160.495,50",72,46,118,0,"100.530,50","59.965,00","160.495,50","0,00"
2022-01-31,108,0,"132.553,00",73,35,108,0,"94.893,00","37.660,00","132.553,00","0,00"
