Fecha,Pedidos,Rechazados,Ventas,Pedidos con pago online,Pedidos con pago en efectivo,Pedidos con delivery,Pedidos con pickup,Ventas con pago online,Ventas en efectivo,Ventas con delivery,Ventas con pickup
2022-04-01,138,1,"191.533,00",84,54,138,0,"117.269,00","74.264,00","191.533,00","0,00"
2022-04-02,166,0,"246.568,00",99,67,166,0,"142.317,00","104.251,00","246.568,00","0,00"
2022-04-03,114,0,"155.488,00",62,52,114,0,"84.970,00","70.518,00","155.488,00","0,00"
2022-04-04,112,3,"129.754,00",62,50,112,0,"72.409,00","57.345,00","129.754,00","0,00"
2022-04-05,245,0,"244.939,00",169,76,245,0,"167.385,00","77.554,00","244.939,00","0,00"
2022-04-06,147,0,"198.777,00",98,49,147,0,"132.155,00","66.622,00","198.777,00","0,00"
2022-04-07,151,1,"197.971,00",100,51,151,0,"131.237,00","66.734,00","197.971,00","0,00"
2022-04-08,154,0,"224.760,00",88,66,154,0,"124.628,00","100.132,00","224.760,00","0,00"
2022-04-09,142,0,"191.718,00",77,65,142,0,"107.213,00","84.505,00","191.718,00","0,00"
2022-04-10,135,6,"195.437,00",80,55,135,0,"124.115,00","71.322,00","195.437,00","0,00"
2022-04-11,94,0,"125.279,00",55,39,94,0,"72.624,00","52.655,00","125.279,00","0,00"
2022-04-12,204,0,"209.390,00",131,73,204,0,"144.693,00","64.697,00","209.390,00","0,00"
2022-04-13,127,0,"163.197,00",86,41,127,0,"108.098,00","55.099,00","163.197,00","0,00"
2022-04-14,162,0,"242.747,00",101,61,162,0,"149.859,00","92.888,00","242.747,00","0,00"
2022-04-15,133,0,"194.077,00",77,56,133,0,"113.938,00","80.139,00","194.077,00","0,00"
2022-04-16,130,0,"200.697,00",77,53,130,0,"116.902,00","83.795,00","200.697,00","0,00"
2022-04-17,168,0,"259.203,00",90,78,168,0,"139.770,00","119.433,00","259.203,00","0,00"
2022-04-18,135,0,"168.346,00",85,50,135,0,"101.472,00","66.874,00","168.346,00","0,00"
2022-04-19,298,0,"280.335,00",192,106,298,0,"190.734,00","89.601,00","280.335,00","0,00"
2022-04-20,138,0,"155.505,00",82,56,138,0,"102.337,00","53.168,00","155.505,00","0,00"
2022-04-21,130,0,"138.011,00",81,49,130,0,"81.676,00","56.335,00","138.011,00","0,00"
2022-04-22,171,0,"226.419,00",102,69,171,0,"130.246,00","96.173,00","226.419,00","0,00"
2022-04-23,192,0,"280.012,00",112,80,192,0,"166.500,00","113.512,00","280.012,00","0,00"
2022-04-24,178,0,"265.082,00",92,86,178,0,"132.234,00","132.848,00","265.082,00","0,00"
2022-04-25,150,0,"191.086,00",88,62,150,0,"116.728,00","74.358,00","191.086,00","0,00"
2022-04-26,172,0,"164.764,00",100,72,172,0,"95.205,00","69.559,00","164.764,00","0,00"
2022-04-27,170,1,"231.956,00",103,67,170,0,"141.129,00","90.827,00","231.956,00","0,00"
2022-04-28,153,0,"206.203,00",104,49,153,0,"143.550,00","62.653,00","206.203,00","0,00"
2022-04-29,178,0,"245.330,00",115,63,178,0,"165.069,00","80.261,00","245.330,00","0,00"
2022-04-30,178,0,"262.616,00",104,74,178,0,"154.173,00","108.443,00","262.616,00","0,00"
